# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist of the interface or subscription source. The interface in the whitelist or the interface obtained by the subscription source will not participate in the speed measurement and will be prioritized in the result.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.

📚音乐📚,#genre#
音乐小石榴,https://live.iill.top/huya/17091681
音乐小石榴,https://live.metshop.top/huya/17091681
喵喵音乐台,http://huanqiuzhibo.cn/manifest/douyu.php?id=9568091
喵喵音乐台,http://zzy789.xyz/douyu1.php?id=9568091
秋月剪水,http://huanqiuzhibo.cn/manifest/douyu.php?id=9588891
音悦喵点歌台,http://huanqiuzhibo.cn/manifest/douyu.php?id=3870925
阿7点歌台,http://huanqiuzhibo.cn/manifest/douyu.php?id=3186217
茶频道,http://tvbox6.icu/tv/mgtv.php?id=578$ IPV4网络
茶频道,https://api.ggiptv.com/v/hunantv.php?id=578
茶频道,http://wouu.net:9977/udp/239.93.0.114:5140
📚辽宁📚,#genre#
辽宁经济,http://39.134.52.215/PLTV/88888888/224/3221226505/index.m3u8
辽宁体育休闲,http://39.134.52.215/PLTV/88888888/224/3221226508/index.m3u8
辽宁影视剧,http://39.134.52.215/PLTV/88888888/224/3221226512/index.m3u8
辽宁北方,http://39.134.52.215/PLTV/88888888/224/3221226515/index.m3u8
辽宁都市,http://39.134.52.215/PLTV/88888888/224/3221226524/index.m3u8
辽宁公共,http://39.134.52.215/PLTV/88888888/224/3221226528/index.m3u8
辽宁移动电视,http://39.134.52.215/PLTV/88888888/224/3221226717/index.m3u8
辽宁影视剧高清,http://39.134.52.215/PLTV/88888888/224/3221226861/index.m3u8
辽宁教育青少高清,http://39.134.52.215/PLTV/88888888/224/3221226863/index.m3u8
辽宁北方高清,http://39.134.52.215/PLTV/88888888/224/3221226865/index.m3u8
辽宁移动电视高清,http://39.134.52.215/PLTV/88888888/224/3221226867/index.m3u8
辽宁经济高清,http://39.134.52.215/PLTV/88888888/224/3221226869/index.m3u8
辽宁都市高清,http://39.134.52.215/PLTV/88888888/224/3221226914/index.m3u8
辽宁生活高清,http://39.134.52.215/PLTV/88888888/224/3221226918/index.m3u8
辽宁移动电视高清,http://39.134.52.215/PLTV/88888888/224/3221226922/index.m3u8
辽宁宁体育休闲高清,http://39.134.52.215/PLTV/88888888/224/3221226916/index.m3u8
辽宁宜佳购物高清,http://39.134.52.215/PLTV/88888888/224/3221226920/index.m3u8
辽宁宜佳购物,http://39.134.52.215/PLTV/88888888/224/3221226624/index.m3u8
沈阳新闻综合高清,http://39.134.52.215/PLTV/88888888/224/3221226924/index.m3u8
沈阳新闻综合,http://39.134.52.215/PLTV/88888888/224/3221226593/index.m3u8 
新动漫,http://39.134.52.215/PLTV/88888888/224/3221226501/index.m3u8
家庭理财,http://39.134.52.215/PLTV/88888888/224/3221226538/index.m3u8
家有购物,http://39.134.52.215/PLTV/88888888/224/3221226756/index.m3u8
央广购物,http://39.134.52.215/PLTV/88888888/224/3221226761/index.m3u8
聚鲨环球精选,http://39.134.52.215/PLTV/88888888/224/3221226765/index.m3u8
咪咕乒乓球,http://39.134.52.215/PLTV/88888888/224/3221226899/index.m3u8
咪咕7,http://39.134.52.215/PLTV/88888888/224/3221226901/index.m3u8
优购物,http://39.134.52.215/PLTV/88888888/224/3221227063/index.m3u8
睛彩篮球,http://39.134.52.215/PLTV/88888888/224/3221227075/index.m3u8
